Country Name,male_le,male_le,GDP_USD,GDP_per_Capita,Rural_Population,Urban_Population,Food_Production,Inflation
Australia,81.2,85.3,1330381544909.3,51868.24756,13.759,86.241,87.12,0.8469055375
Brazil,70.7,77.375,1476107231194.11,6923.699912,12.927,87.073,111.97,3.211768038
Canada,79.48,83.95,1655684730000.19,43537.8393,18.438,81.562,112.78,0.7169996323
China,75.305,81.058,14687744162801.0,10408.71955,38.572,61.428,105.49,2.419421895
Germany,78.7,83.5,3887727161914.41,46749.47623,22.547,77.453,95.45,0.1448779258
France,79.2,85.3,2647418691598.45,39179.74426,19.025,80.975,93.7,0.4764988527
United Kingdom,78.4,82.4,2697806592293.86,40217.00901,16.097,83.903,98.14,0.9894867038
India,68.615,71.824,2674851578586.86,1915.551588,65.074,34.926,120.12,6.623436776
Japan,81.56,87.71,5055587093501.59,40040.76551,8.218,91.782,100.3,-0.02499583403
Kenya,60.372,65.062,100657505750.545,1936.250755,72.005,27.995,125.82,5.405162079
Mexico,66.334,74.314,1120832412468.85,8895.615216,19.269,80.731,112.74,3.396834156
Nigeria,52.456,53.323,432198898467.795,2074.613748,48.042,51.958,112.64,13.24602343
Philippines,70.244,73.997,361751145451.597,3224.422811,52.592,47.408,100.67,2.393162393
Saudi Arabia,74.966,77.992,734271200000.0,20398.06143,15.713,84.287,170.03,3.44545826
United States,74.2,79.9,21322950000000.0,64317.39891,17.336,82.664,103.12,1.233584396
South Africa,62.178,67.964,338291396026.698,5753.066494,32.646,67.354,111.43,3.210035975
